100,2.91,0.09
200,2.58,0.15
300,2.74,0.03
400,2.58,0.14
500,2.73,0.17
600,2.82,0.07
700,2.54,0.12
800,2.6,0.1
900,2.73,0.12
1000,2.83,0.08
1100,2.86,0.14
1200,2.57,0.09
1300,3.03,0.1
1400,2.94,0.04
1500,2.49,0.16
1600,2.71,0.11
1700,2.83,0.07
1800,2.51,0.14
1900,2.6,0.07
2000,2.71,0.14
2100,2.49,0.14
2200,2.52,0.12
2300,2.85,0.11
2400,2.85,0.08
2500,2.67,0.13
2600,2.43,0.21
2700,2.85,0.08
2800,2.99,0.11
2900,2.7,0.09
3000,2.56,0.14
3100,2.59,0.11
3200,2.72,0.15
3300,2.41,0.15
3400,2.33,0.11
3500,3.0,0.04
3600,2.68,0.1
3700,2.53,0.13
3800,2.46,0.16
3900,2.29,0.24
4000,2.75,0.08
4100,2.39,0.16
4200,2.89,0.1
4300,2.64,0.08
4400,2.71,0.08
4500,2.58,0.09
4600,2.39,0.11
4700,2.52,0.14
4800,2.47,0.14
4900,2.83,0.13
5000,2.58,0.1
5100,1.47,0.38
5200,1.64,0.39
5300,1.14,0.5
5400,1.36,0.46
5500,1.48,0.36
5600,1.23,0.5
5700,1.3,0.44
5800,1.38,0.39
5900,1.42,0.39
6000,1.5,0.36
6100,1.44,0.43
6200,1.49,0.35
6300,1.32,0.4
6400,1.43,0.35
6500,1.6,0.37
6600,1.43,0.39
6700,1.45,0.38
6800,1.28,0.43
6900,1.75,0.33
7000,1.64,0.36
7100,1.36,0.4
7200,1.36,0.42
7300,1.29,0.43
7400,1.36,0.42
7500,1.45,0.39
7600,1.61,0.34
7700,1.37,0.39
7800,1.49,0.38
7900,1.61,0.29
8000,1.28,0.45
8100,1.47,0.35
8200,1.2,0.45
8300,1.25,0.46
8400,1.5,0.42
8500,1.48,0.39
8600,1.34,0.43
8700,1.46,0.38
8800,1.25,0.5
8900,1.48,0.38
9000,1.33,0.39
9100,1.47,0.39
9200,1.34,0.43
9300,1.49,0.33
9400,1.57,0.38
9500,1.49,0.37
9600,1.44,0.36
9700,1.36,0.39
9800,1.56,0.39
9900,1.39,0.4
10000,1.38,0.37
10100,1.64,0.32
10200,1.4,0.43
10300,1.46,0.38
10400,1.29,0.42
10500,1.48,0.4
10600,1.45,0.42
10700,1.72,0.35
10800,1.54,0.4
10900,1.27,0.46
11000,1.35,0.34
11100,1.53,0.34
11200,1.22,0.49
11300,1.34,0.45
11400,1.3,0.43
11500,1.69,0.27
11600,1.25,0.41
11700,1.52,0.41
11800,1.16,0.51
11900,1.69,0.32
12000,1.4,0.43
12100,1.41,0.39
12200,1.52,0.3
12300,1.59,0.34
12400,1.48,0.39
12500,1.65,0.33
12600,1.12,0.49
12700,1.51,0.35
12800,1.52,0.34
12900,1.32,0.44
13000,1.5,0.37
13100,1.2,0.48
13200,1.09,0.52
13300,1.37,0.39
13400,1.01,0.53
13500,1.43,0.41
13600,1.4,0.45
13700,1.4,0.4
13800,1.41,0.48
13900,1.59,0.36
14000,1.54,0.35
14100,1.51,0.37
14200,1.61,0.31
14300,1.18,0.49
14400,1.36,0.47
14500,1.65,0.31
14600,1.37,0.4
14700,1.49,0.4
14800,1.63,0.37
14900,1.34,0.41
15000,1.62,0.34
15100,1.5,0.35
15200,1.51,0.39
15300,1.52,0.4
15400,1.4,0.41
15500,1.74,0.37
15600,1.48,0.4
15700,1.4,0.4
15800,1.38,0.44
15900,1.66,0.33
16000,1.31,0.46
16100,1.64,0.33
16200,1.68,0.36
16300,1.23,0.48
16400,1.36,0.41
16500,1.74,0.28
16600,1.26,0.4
16700,1.33,0.43
16800,1.45,0.39
16900,1.21,0.48
17000,1.19,0.46
17100,1.32,0.44
17200,1.38,0.4
17300,1.71,0.32
17400,1.17,0.46
17500,1.71,0.28
17600,1.24,0.4
17700,1.44,0.38
17800,1.73,0.32
17900,1.34,0.43
18000,1.37,0.36
18100,1.44,0.38
18200,1.39,0.43
18300,1.29,0.46
18400,1.49,0.4
18500,1.48,0.34
18600,1.25,0.44
18700,1.37,0.46
18800,1.63,0.37
18900,1.69,0.37
19000,1.39,0.39
19100,1.36,0.41
19200,1.41,0.38
19300,1.18,0.48
19400,1.44,0.41
19500,1.39,0.42
19600,1.18,0.43
19700,1.29,0.43
19800,1.4,0.44
19900,1.4,0.43
20000,1.5,0.37
