100,0.77,0.75
200,0.64,0.77
300,1.22,0.66
400,0.86,0.74
500,2.19,0.48
600,2.24,0.53
700,2.35,0.39
800,2.04,0.45
900,2.04,0.52
1000,2.6,0.38
1100,3.04,0.32
1200,3.21,0.28
1300,3.17,0.28
1400,3.21,0.35
1500,3.06,0.25
1600,3.29,0.28
1700,3.14,0.3
1800,2.83,0.34
1900,3.6,0.23
2000,3.08,0.25
2100,2.76,0.31
2200,3.61,0.25
2300,2.95,0.26
2400,3.62,0.21
2500,3.05,0.35
2600,3.06,0.27
2700,3.63,0.18
2800,3.32,0.16
2900,3.17,0.23
3000,2.86,0.31
3100,3.44,0.22
3200,3.29,0.31
3300,2.29,0.33
3400,3.1,0.3
3500,3.35,0.16
3600,3.22,0.22
3700,3.7,0.25
3800,3.03,0.3
3900,3.35,0.23
4000,3.02,0.26
4100,3.22,0.21
4200,3.37,0.13
4300,2.93,0.22
4400,3.42,0.19
4500,3.03,0.24
4600,2.73,0.27
4700,3.03,0.23
4800,3.17,0.2
4900,3.21,0.23
5000,3.18,0.26
5100,2.64,0.31
5200,3.05,0.24
5300,2.75,0.33
5400,3.01,0.23
5500,2.85,0.36
5600,3.27,0.23
5700,2.98,0.29
5800,2.92,0.4
5900,2.86,0.23
6000,2.77,0.23
6100,2.84,0.31
6200,2.82,0.34
6300,2.86,0.22
6400,2.66,0.37
6500,3.4,0.32
6600,2.78,0.26
6700,3.11,0.22
6800,3.32,0.22
6900,3.28,0.2
7000,2.77,0.23
7100,3.04,0.25
7200,2.85,0.29
7300,2.68,0.3
7400,2.91,0.26
7500,2.37,0.29
7600,3.15,0.16
7700,2.84,0.26
7800,2.96,0.22
7900,2.94,0.3
8000,2.37,0.31
8100,2.53,0.26
8200,2.14,0.39
8300,2.5,0.34
8400,3.15,0.17
8500,3.31,0.21
8600,2.74,0.27
8700,3.15,0.17
8800,2.72,0.28
8900,2.75,0.31
9000,2.97,0.27
9100,2.75,0.25
9200,3.03,0.26
9300,3.1,0.22
9400,2.55,0.26
9500,2.98,0.3
9600,2.79,0.4
9700,2.76,0.27
9800,2.55,0.3
9900,3.22,0.2
10000,2.87,0.26
10100,3.01,0.24
10200,2.68,0.32
10300,2.47,0.3
10400,2.72,0.29
10500,2.33,0.34
10600,2.65,0.24
10700,3.04,0.21
10800,2.61,0.26
10900,2.86,0.37
11000,3.17,0.21
11100,3.09,0.22
11200,3.05,0.25
11300,2.85,0.3
11400,2.61,0.31
11500,3.08,0.32
11600,2.65,0.32
11700,2.89,0.24
11800,2.77,0.25
11900,2.69,0.33
12000,2.39,0.36
12100,2.93,0.29
12200,2.12,0.41
12300,3.07,0.23
12400,3.2,0.25
12500,3.37,0.21
12600,2.79,0.27
12700,2.84,0.24
12800,2.81,0.31
12900,2.52,0.26
13000,2.67,0.28
13100,3.03,0.22
13200,2.98,0.21
13300,2.75,0.32
13400,2.43,0.31
13500,2.88,0.28
13600,2.86,0.22
13700,2.47,0.3
13800,2.72,0.23
13900,3.27,0.2
14000,2.47,0.26
14100,2.7,0.25
14200,2.67,0.25
14300,2.65,0.3
14400,2.52,0.36
14500,2.86,0.25
14600,2.7,0.24
14700,2.75,0.26
14800,2.3,0.34
14900,2.53,0.33
15000,2.82,0.28
15100,2.93,0.28
15200,2.6,0.31
15300,3.08,0.22
15400,2.24,0.37
15500,3.14,0.26
15600,2.47,0.34
15700,2.41,0.3
15800,3.16,0.28
15900,2.58,0.33
16000,2.94,0.17
16100,3.07,0.23
16200,3.58,0.23
16300,2.58,0.31
16400,2.74,0.31
16500,2.57,0.31
16600,3.28,0.24
16700,2.86,0.25
16800,3.2,0.26
16900,2.37,0.32
17000,3.2,0.26
17100,3.01,0.27
17200,2.62,0.3
17300,3.19,0.22
17400,2.7,0.22
17500,2.58,0.28
17600,2.3,0.39
17700,3.07,0.23
17800,2.34,0.35
17900,3.12,0.23
18000,2.56,0.35
18100,2.64,0.27
18200,3.13,0.17
18300,2.85,0.22
18400,2.48,0.29
18500,2.52,0.28
18600,3.16,0.18
18700,2.59,0.29
18800,2.92,0.33
18900,3.28,0.2
19000,2.74,0.22
19100,3.12,0.16
19200,2.64,0.29
19300,2.71,0.26
19400,2.22,0.34
19500,2.74,0.18
19600,2.4,0.32
19700,2.86,0.32
19800,2.86,0.17
19900,2.75,0.21
20000,2.98,0.25
